DATABASE_ID,GENERIC_NAME,SMILES,FORMULA,MOLECULAR_WEIGHT,EXACT_MASS,Total.Molweight,cLogP,H.Acceptors,H.Donors
DB01085,Pilocarpine,CC[C@H]1[C@@H](CC2=CN=CN2C)COC1=O,C11H16N2O2,208.2569,208.1211778,208.26,0.7617,4,0
DB00754,Ethotoin,CCN1C(=O)NC(C1=O)C1=CC=CC=C1,C11H12N2O2,204.2252,204.0898776,204.228,1.0597,4,1
DB00150,Tryptophan,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,C11H12N2O2,204.2252,204.0898776,204.228,-1.5098,4,3
DB00633,Dexmedetomidine,C[C@H](C1=CNC=N1)C1=C(C)C(C)=CC=C1,C13H16N2,200.2795,200.1313485,200.284,2.8487,2,1
DB14198,Quaternium-15,[Cl-].[H]C(Cl)=C([H])C[N+]12CN3CN(CN(C3)C1)C2,C9H16Cl2N4,251.156,250.0752019,251.16,-1.5826,3,0
DB00964,Apraclonidine,NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1,C9H10Cl2N4,245.109,244.0282518,245.112,1.554,4,3
DB00600,Monobenzone,OC1=CC=C(OCC2=CC=CC=C2)C=C1,C13H12O2,200.2332,200.0837296,200.236,2.662,2,1
DB00594,Amiloride,NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N,C6H8ClN7O,229.627,229.0478856,229.631,-1.7626,8,5
DB01018,Guanfacine,NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl,C9H9Cl2N3O,246.093,245.0122673,246.096,1.3437,4,3
DB01206,Lomustine,ClCCN(N=O)C(=O)NC1CCCCC1,C9H16ClN3O2,233.695,233.0931045,233.698,1.8394,5,1
DB00791,Uracil mustard,ClCCN(CCCl)C1=CNC(=O)NC1=O,C8H11Cl2N3O2,252.098,251.022832,252.1,-0.0496,5,2
DB09220,Nicorandil,[O-][N+](=O)OCCNC(=O)C1=CC=CN=C1,C8H9N3O4,211.177,211.0593058,211.176,-0.7223,6,1
DB00914,Phenformin,NC(=N)NC(=N)NCCC1=CC=CC=C1,C10H15N5,205.2596,205.1327455,205.264,-0.132,5,5
DB00816,Orciprenaline,CC(C)NCC(O)C1=CC(O)=CC(O)=C1,C11H17NO3,211.2576,211.1208434,211.26,0.4502,4,4
DB01064,Isoprenaline,CC(C)NCC(O)C1=CC(O)=C(O)C=C1,C11H17NO3,211.2576,211.1208434,211.26,0.4502,4,4
DB00723,Methoxamine,COC1=CC(C(O)C(C)N)=C(OC)C=C1,C11H17NO3,211.2576,211.1208434,211.26,0.2438,4,2
DB13268,Acetarsol,CC(=O)NC1=CC(=CC=C1O)[As](O)(O)=O,C8H10AsNO5,275.0903,274.9774939,275.091,1.0727,6,4
DB06262,Droxidopa,N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O,C9H11NO5,213.189,213.0637225,213.188,-3.3107,6,5
DB00937,Diethylpropion,CCN(CC)C(C)C(=O)C1=CC=CC=C1,C13H19NO,205.2961,205.1466642,205.3,1.9962,2,0
DB00265,Crotamiton,CCN(C(=O)C=CC)C1=CC=CC=C1C,C13H17NO,203.2802,203.1310142,203.284,3.0195,2,0
DB13848,Fluorodopa (18F),N[C@@H](CC1=CC(O)=C(O)C=C1[18F])C(O)=O,C9H10FNO4,214.183,214.0619205,214.182,-2.1398,5,4
DB05057,Erdosteine,OC(=O)CSCC(=O)NC1CCSC1=O,C8H11NO4S2,249.307,249.0129492,249.31,-1.1778,5,2
DB00968,Methyldopa,C[C@](N)(CC1=CC=C(O)C(O)=C1)C(O)=O,C10H13NO4,211.2145,211.0844579,211.216,-1.86,5,4
DB00419,Miglustat,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,C10H21NO4,219.278,219.1470582,219.28,-0.8458,5,4
DB00488,Altretamine,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,C9H18N6,210.2794,210.1592946,210.284,0.7704,6,0
DB00237,Butabarbital,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,C10H16N2O3,212.2456,212.1160924,212.248,0.8424,5,2
DB01353,Butobarbital,CCCCC1(CC)C(=O)NC(=O)NC1=O,C10H16N2O3,212.2456,212.1160924,212.248,1.0785,5,2
DB05541,Brivaracetam,CCC[C@H]1CN([C@@H](CC)C(N)=O)C(=O)C1,C11H20N2O2,212.2887,212.1524779,212.292,0.8132,4,1
DB13167,Alclofenac,OC(=O)CC1=CC(Cl)=C(OCC=C)C=C1,C11H11ClO3,226.66,226.0396719,226.658,2.354,3,1
DB11299,Vanillyl butyl ether,CCCCOCC1=CC(OC)=C(O)C=C1,C12H18O3,210.2695,210.1255944,210.272,2.3896,3,1
DB14175,alpha-Amyl cinnamaldehyde,CCCCC\C(C=O)=C\C1=CC=CC=C1,C14H18O,202.2921,202.1357652,202.296,4.0352,1,0
DB09213,Dexibuprofen,CC(C)CC1=CC=C(C=C1)[C@H](C)C(O)=O,C13H18O2,206.2808,206.1306798,206.284,3.0025,2,1
DB01050,Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,C13H18O2,206.2808,206.1306798,206.284,3.0025,2,1
DB05389,Tetrachlorodecaoxide,O.O=O.[O-][Cl]=O.[O-][Cl]=O.[O-][Cl]=O.[O-][Cl]=O,Cl4H2O11,319.821,317.8351217,319.817,-1.8166,2,1
DB00727,Nitroglycerin,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,C3H5N3O9,227.0865,227.0025788,227.085,-2.3418,9,0
DB01057,Echothiophate,CCOP(=O)(OCC)SCC[N+](C)(C)C,C9H23NO3PS,256.323,256.1136258,256.326,-2.3845,3,0
DB09448,Iodohippurate sodium I-123,[Na+].[O-]C(=O)CNC(=O)C1=CC=CC=C1[123I],C9H7INNaO3,323.054,322.9379603,323.054,0.6655,4,2
DB09382,Iodohippurate sodium I-131,[Na+].[O-]C(=O)CNC(=O)C1=C([131I])C=CC=C1,C9H7INNaO3,331.055,330.9384865,331.055,0.6655,4,2
DB06261,Hexaminolevulinate,[H]N([H])CC(=O)CCC(=O)OCCCCCC,C11H21NO3,215.293,215.1521435,215.292,1.3384,4,1
DB01783,Pantothenic acid,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,C9H17NO5,219.235,219.1106727,219.236,-1.0166,6,4
DB00141,N-Acetylglucosamine,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,C8H15NO6,221.2078,221.0899372,221.208,-3.3477,7,5
DB00371,Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O,C9H18N2O4,218.2502,218.1266571,218.252,0.9953,6,2
DB09501,Ferric ammonium citrate,N.[Fe+3].OC(=O)CC(O)(CC(O)=O)C(O)=O,C6H11FeNO7,264.997,264.986842,264.998,-2.1297,7,4
DB00730,Thiabendazole,N1C2=CC=CC=C2N=C1C1=CSC=N1,C10H7N3S,201.248,201.0360679,201.253,1.7705,3,1
DB00848,Levamisole,C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1,C11H12N2S,204.291,204.0721191,204.296,1.692,2,0
DB12328,Cantharidin,[H][C@]12CC[C@]([H])(O1)[C@]1(C)C(=O)OC(=O)[C@]21C,C10H12O4,196.202,196.0735589,196.201,-0.1438,4,0
DB01427,Amrinone,NC1=CC(=CNC1=O)C1=CC=NC=C1,C10H9N3O,187.198,187.0745619,187.201,-1.0079,4,2
DB00413,Pramipexole,CCCN[C@H]1CCC2=C(C1)SC(N)=N2,C10H17N3S,211.327,211.1143182,211.332,1.8629,3,2
DB00575,Clonidine,ClC1=CC=CC(Cl)=C1NC1=NCCN1,C9H9Cl2N3,230.094,229.0173527,230.097,2.2313,3,2
DB00766,Clavulanic acid,[H][C@@]12CC(=O)N1[C@@H](C(O)=O)\C(O2)=C\CO,C8H9NO5,199.1608,199.0480724,199.161,-1.3962,6,2
DB13306,Chlorquinaldol,CC1=NC2=C(C=C1)C(Cl)=CC(Cl)=C2O,C10H7Cl2NO,228.07,226.9904692,228.078,3.2398,2,1
DB04951,Pirfenidone,CC1=CN(C(=O)C=C1)C1=CC=CC=C1,C12H11NO,185.2218,185.084064,185.225,1.8237,2,0
DB01579,Phendimetrazine,C[C@H]1[C@@H](OCCN1C)C1=CC=CC=C1,C12H17NO,191.274,191.1310142,191.273,1.6743,2,0
DB00832,Phensuximide,CN1C(=O)CC(C1=O)C1=CC=CC=C1,C11H11NO2,189.2105,189.0789786,189.213,1.2674,3,0
DB00853,Temozolomide,CN1N=NC2=C(N=CN2C1=O)C(N)=O,C6H6N6O2,194.1508,194.0552235,194.154,-0.5014,8,1
DB12945,Dihydralazine,NNC1=C2C=CC=CC2=C(NN)N=N1,C8H10N6,190.21,190.0966943,190.209,1.652,6,4
DB00909,Zonisamide,NS(=O)(=O)CC1=NOC2=CC=CC=C12,C8H8N2O3S,212.226,212.0255628,212.229,0.4386,5,1
DB09256,Tegafur,FC1=CN(C2CCCO2)C(=O)NC1=O,C8H9FN2O3,200.169,200.0597203,200.168,-0.0357,5,1
DB01435,Antipyrine,CN1N(C(=O)C=C1C)C1=CC=CC=C1,C11H12N2O,188.2258,188.094963,188.229,0.5819,3,0
DB01119,Diazoxide,CC1=NS(=O)(=O)C2=C(N1)C=CC(Cl)=C2,C8H7ClN2O2S,230.671,229.9916759,230.675,1.415,4,1
DB11156,Pyrantel,[H]\C(=C(\[H])C1=NCCCN1C)C1=CC=CS1,C11H14N2S,206.31,206.0877696,206.312,1.8465,2,0
DB11932,Abametapir,CC1=CC=C(N=C1)C1=CC=C(C)C=N1,C12H12N2,184.242,184.1000484,184.241,2.1868,2,0
DB14018,Bromotheophylline,CN1C2=C(NC(Br)=N2)C(=O)N(C)C1=O,C7H7BrN4O2,259.063,257.975238,259.063,0.6561,6,1
DB00824,Enprofylline,CCCN1C2=C(NC=N2)C(=O)NC1=O,C8H10N4O2,194.1906,194.0803756,194.193,0.2966,6,2
DB00201,Caffeine,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,C8H10N4O2,194.1906,194.0803756,194.193,-0.1784,6,0
DB13853,Anethole trithione,COC1=CC=C(C=C1)C1=CC(=S)SS1,C10H8OS3,240.35,239.9737284,240.371,3.1712,1,0
DB13909,Bismuth subgallate,O[Bi]1OC2=CC(=CC(O)=C2O1)C(O)=O,C7H5BiO6,394.091,393.98901,394.091,0.3158,6,3
DB08842,Acetylcarnitine,CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,C9H17NO4,203.238,203.115758,203.237,-5.6478,4,0
DB09357,Dexpanthenol,CC(C)(CO)[C@@H](O)C(=O)NCCCO,C9H19NO4,205.2515,205.1314081,205.253,-0.667,5,4
DB11204,Panthenol,CC(C)(CO)C(O)C(=O)NCCCO,C9H19NO4,205.254,205.1314081,205.253,-0.667,5,4
DB00330,Ethambutol,CC[C@@H](CO)NCCN[C@@H](CC)CO,C10H24N2O2,204.3098,204.183778,204.313,-0.3822,4,4
DB00138,Cystine,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,C6H12N2O4S2,240.3,240.0238483,240.303,-5.5478,6,4
DB01008,Busulfan,CS(=O)(=O)OCCCCOS(C)(=O)=O,C6H14O6S2,246.302,246.0231796,246.303,-0.0166,6,0
DB11590,Thimerosal,[Na+].CC[Hg]SC1=CC=CC=C1C([O-])=O,C9H9HgNaO2S,404.81,405.9927205,404.814,2.0955,2,1
DB03017,Lauric acid,CCCCCCCCCCCC(O)=O,C12H24O2,200.3178,200.17763,200.321,4.2449,2,1
DB12821,Perflubutane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C4F10,238.028,237.9840316,238.024,3.3638,0,0
DB06792,Lanthanum carbonate,[La+3].[La+3].[O-]C([O-])=O.[O-]C([O-])=O.[O-]C([O-])=O,C3La2O9,457.835,457.76695,457.844,-0.5238,3,2
DB00711,Diethylcarbamazine,CCN(CC)C(=O)N1CCN(C)CC1,C10H21N3O,199.2932,199.1684623,199.297,0.8076,4,0
DB19365,Aminometradine,CCN1C(=O)C=C(N)N(CC=C)C1=O,C9H13N3O2,195.222,195.1007767,195.221,0.3384,5,1
DB01197,Captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O,C9H15NO3S,217.285,217.077264,217.288,0.366,4,1
DB00765,Metyrosine,C[C@](N)(CC1=CC=C(O)C=C1)C(O)=O,C10H13NO3,195.2151,195.0895433,195.217,-1.5143,4,3
DB00491,Miglitol,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,C8H17NO5,207.2243,207.1106727,207.225,-2.6813,6,5
DB11587,Etafedrine,CCN(C)[C@@H](C)[C@H](O)C1=CC=CC=C1,C12H19NO,193.29,193.1466642,193.289,1.4081,2,1
DB11282,Diethyltoluamide,CCN(CC)C(=O)C1=CC(C)=CC=C1,C12H17NO,191.2695,191.1310142,191.273,2.5214,2,0
DB00181,Baclofen,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,C10H12ClNO2,213.661,213.0556563,213.663,-0.4206,3,2
DB11148,Butamben,CCCCOC(=O)C1=CC=C(N)C=C1,C11H15NO2,193.246,193.1102787,193.245,2.2104,3,1
DB01235,Levodopa,N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O,C9H11NO4,197.1879,197.0688078,197.189,-2.2406,5,4
DB09480,Iofetamine I-123,CC(C)NC(C)CC1=CC=C([123I])C=C1,C12H18IN,299.189,299.0495225,299.188,3.0081,1,1
DB01037,Selegiline,C[C@H](CC1=CC=CC=C1)N(C)CC#C,C13H17N,187.286,187.1360996,187.285,2.0991,1,0
DB00634,Sulfacetamide,CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,C8H10N2O3S,214.242,214.0412129,214.244,0.1644,5,2
DB00345,Aminohippuric acid,NC1=CC=C(C=C1)C(=O)NCC(O)=O,C9H10N2O3,194.1873,194.0691422,194.189,-0.4489,5,3
DB01056,Tocainide,CC(N)C(=O)NC1=C(C)C=CC=C1C,C11H16N2O,192.2575,192.1262631,192.261,1.0859,3,2
DB01181,Ifosfamide,ClCCNP1(=O)OCCCN1CCCl,C7H15Cl2N2O2P,261.086,260.0248197,261.088,1.0573,4,1
DB00531,Cyclophosphamide,ClCCN(CCCl)P1(=O)NCCCO1,C7H15Cl2N2O2P,261.086,260.0248197,261.088,0.727,4,1
DB14754,Solriamfetol,N[C@@H](COC(N)=O)CC1=CC=CC=C1,C10H14N2O2,194.234,194.1055277,194.233,0.3893,4,2
DB00703,Methazolamide,CN1N=C(S\C1=N\C(C)=O)S(N)(=O)=O,C5H8N4O3S2,236.26,236.0037825,236.276,0.1901,7,1
DB00336,Nitrofural,NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O,C6H6N4O4,198.1362,198.0389047,198.138,-0.2462,7,2
DB00629,Guanabenz,NC(N)=NN=CC1=C(Cl)C=CC=C1Cl,C8H8Cl2N4,231.082,230.0126017,231.086,3.0853,4,2
DB01170,Guanethidine,NC(N)=NCCN1CCCCCCC1,C10H22N4,198.3085,198.1844467,198.313,0.6142,4,2
DB14084,Butylparaben,CCCCOC(=O)C1=CC=C(O)C=C1,C11H14O3,194.2271,194.0942943,194.229,2.542,3,1
DB00793,Haloprogin,ClC1=CC(Cl)=C(Cl)C=C1OCC#CI,C9H4Cl3IO,361.391,359.8372413,361.389,4.5492,1,0
DB11254,Hexylresorcinol,CCCCCCC1=C(O)C=C(O)C=C1,C12H18O2,194.2701,194.1306798,194.273,3.5453,2,2
DB00874,Guaifenesin,COC1=CC=CC=C1OCC(O)CO,C10H14O4,198.2158,198.0892089,198.217,0.4318,4,2
DB06784,Gallium citrate Ga-67,[67Ga+3].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,C6H5GaO7,256.0279,255.9317324,256.027,-2.1297,7,4
DB13595,Almasilate,O.[Mg++].[Al+3].[Al+3].[O-][Si]([O-])([O-])[O-].[O-][Si]([O-])([O-])[O-],Al2H2MgO9Si2,280.445,279.8718534,280.448,0,4,4
DB00185,Cevimeline,CC1O[C@@]2(CS1)CN1CCC2CC1,C10H17NOS,199.313,199.1030849,199.317,1.686,2,0
DB01043,Memantine,CC12CC3CC(C)(C1)CC(N)(C3)C2,C12H21N,179.3018,179.1673997,179.306,1.9846,1,1
DB00478,Rimantadine,CC(N)C12CC3CC(CC(C3)C1)C2,C12H21N,179.3018,179.1673997,179.306,1.9091,1,1
DB11738,Rilmenidine,C1CC1C(NC1=NCCO1)C1CC1,C10H16N2O,180.251,180.1262631,180.25,0.8559,3,1
DB09512,Simethicone,O=[Si]=O.CO[Si](C)(C)O[Si](C)(C)C,C6H18O4Si3,238.461,238.0512887,238.463,3.2026,2,0
